"vote_count","id","video","vote_average","title","popularity","poster_path","original_language","original_title","genre_ids","backdrop_path","adult","overview","release_date"
4481,354912,FALSE,7.8,"Coco",97.347857,"/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg","en","Coco","12, 35, 10751, 16","/askg3SMvhqEl4OL52YuvdtY40Yb.jpg",FALSE,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","2017-10-27"
8303,321612,FALSE,6.8,"Beauty and the Beast",97.269448,"/tWqifoYuwLETmmasnGHO7xBjEtt.jpg","en","Beauty and the Beast","10751, 14, 10749","/6aUWe0GSl69wMTSWWexsorMIvwU.jpg",FALSE,"A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.","2017-03-16"
613,427641,FALSE,5.9,"Rampage",96.877511,"/30oXQKwibh0uANGMs0Sytw3uN22.jpg","en","Rampage","28, 12, 878","/wrqUiMXttHE4UBFMhLHlN601MZh.jpg",FALSE,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.","2018-04-12"
1230,401981,FALSE,6.5,"Red Sparrow",91.408141,"/fyufzd2S1lLxMxkTHTnmr6VJfe5.jpg","en","Red Sparrow","9648, 53","/fkZaLkSmOujJaC0GG32HYVYKP1q.jpg",FALSE,"Prima ballerina, Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.","2018-03-01"
7877,198663,FALSE,7,"The Maze Runner",88.631315,"/coss7RgL0NH6g4fC2s5atvf3dFO.jpg","en","The Maze Runner","28, 9648, 878, 53","/lkOZcsXcOLZYeJ2YxJd3vSldvU4.jpg",FALSE,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.","2014-09-10"
21,462593,FALSE,5.3,"What the Waters Left Behind",86.750435,"/4lJS2NUtcgyJPjOPfFlXcHzHu0D.jpg","es","Los olvidados","27","/ufyPovbgRKlKTWrlzDFgULfgfyi.jpg",FALSE,"Epecuén was one of the most important touristic villages of Argentina. Thousands of people concurred, attracted by the healing properties of its thermal waters. On November 10th 1985, a huge volume of water broke the protecting embankment and the village was submerged under ten meters of salt water. Epecuén disappeared. Thirty years later, the waters receded and the ruins of Epecuén emerged exposing a bleak and deserted landscape. The residents never returned.  The plot revolves around a group of young people that take a trip to the ruins in order to film a documentary about Epecuén. Ignoring the warnings, and after a brief tour, they get stranded in the abandoned village. Contrary to what they thought, they begin to realize that they are really not alone…","2017-10-11"
5700,119450,FALSE,7.2,"Dawn of the Planet of the Apes",85.021225,"/2EUAUIu5lHFlkj5FRryohlH6CRO.jpg","en","Dawn of the Planet of the Apes","878, 28, 18, 53","/t7VSsAbIQS6kpO4ikuCNSiugsSy.jpg",FALSE,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.","2014-06-26"
718,445571,FALSE,7,"Game Night",82.717422,"/85R8LMyn9f2Lev2YPBF8Nughrkv.jpg","en","Game Night","9648, 35, 80, 53","/nFQYnpri9kqJ91sG1IfyhukhdrD.jpg",FALSE,"Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to learn that neither the game nor Brooks are what they seem to be. The friends soon find themselves in over their heads as each twist leads to another unexpected turn over the course of one chaotic night.","2018-02-22"
14867,24428,FALSE,7.5,"The Avengers",81.313664,"/cezWGskPY5x7GaglTTRN4Fugfb8.jpg","en","The Avengers","878, 28, 12","/hbn46fQaRmlpBuUrEiFqv0GDL6Y.jpg",FALSE,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","2012-04-25"
5514,181808,FALSE,7.1,"Star Wars: The Last Jedi",77.347186,"/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg","en","Star Wars: The Last Jedi","14, 12, 878","/bIUaCtWaRgd78SnoHJDI8TNf7Sd.jpg",FALSE,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.","2017-12-13"
9050,10195,FALSE,6.6,"Thor",66.018755,"/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg","en","Thor","12, 14, 28","/LvmmDZxkTDqp0DX7mUo621ahdX.jpg",FALSE,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.","2011-04-21"
3746,281338,FALSE,6.9,"War for the Planet of the Apes",65.634758,"/3vYhLLxrTtZLysXtIWktmd57Snv.jpg","en","War for the Planet of the Apes","18, 878, 10752","/ulMscezy9YX0bhknvJbZoUgQxO5.jpg",FALSE,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.","2017-07-11"
28,351286,FALSE,0,"Jurassic World: Fallen Kingdom",62.289893,"/c9XxwwhPHdaImA2f1WEfEsbhaFB.jpg","en","Jurassic World: Fallen Kingdom","28, 12, 878","/gBmrsugfWpiXRh13Vo3j0WW55qD.jpg",FALSE,"A volcanic eruption threatens the remaining dinosaurs on the island of Isla Nublar, where the creatures have freely roamed for several years after the demise of an animal theme park known as Jurassic World. Claire Dearing, the former park manager, has now founded the Dinosaur Protection Group, an organization dedicated to protecting the dinosaurs. To help with her cause, Claire has recruited Owen Grady, a former dinosaur trainer who worked at the park, to prevent the extinction of the dinosaurs once again.","2018-06-06"
1888,300668,FALSE,6.3,"Annihilation",61.680468,"/e3P2Ed0sbmQ6RsoS4dcT3aeEPR.jpg","en","Annihilation","9648, 878, 18, 12, 14, 27, 53","/5zfVNTrkhMu673zma6qhFzG01ig.jpg",FALSE,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","2018-02-22"
1104,447332,FALSE,7.3,"A Quiet Place",60.66973,"/nAU74GmpUk7t5iklEp3bufwDq4n.jpg","en","A Quiet Place","18, 27, 53, 878, 10751","/roYyPiQDQKmIKUEhO912693tSja.jpg",FALSE,"A family is forced to live in silence while hiding from creatures that hunt by sound.","2018-04-05"
9119,263115,FALSE,7.7,"Logan",58.780843,"/gGBu0hKw9BGddG8RkRAMX7B6NDB.jpg","en","Logan","28, 18, 878","/5pAGnkFYSsFJ99ZxDIYnhQbQFXs.jpg",FALSE,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.","2017-02-28"
9288,99861,FALSE,7.3,"Avengers: Age of Ultron",58.274979,"/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg","en","Avengers: Age of Ultron","28, 12, 878","/rFtsE7Lhlc2jRWF7SRAU0fvrveQ.jpg",FALSE,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","2015-04-22"
10794,135397,FALSE,6.5,"Jurassic World",57.159398,"/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg","en","Jurassic World","28, 12, 878, 53","/t5KONotASgVKq4N19RyhIthWOPG.jpg",FALSE,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","2015-06-06"
8191,283995,FALSE,7.6,"Guardians of the Galaxy Vol. 2",54.684449,"/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg","en","Guardians of the Galaxy Vol. 2","28, 12, 35, 878","/aJn9XeesqsrSLKcHfHP4u5985hn.jpg",FALSE,"The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.","2017-04-19"
2035,333339,FALSE,7.8,"Ready Player One",52.902754,"/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg","en","Ready Player One","12, 878, 28","/q7fXcrDPJcf6t3rzutaNwTzuKP1.jpg",FALSE,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.","2018-03-28"
9300,22,FALSE,7.6,"Pirates of the Caribbean: The Curse of the Black Pearl",52.863617,"/tkt9xR1kNX5R9rCebASKck44si2.jpg","en","Pirates of the Caribbean: The Curse of the Black Pearl","12, 14, 28","/8AUQ7YlJJA9C8kWk8P4YNHIcFDE.jpg",FALSE,"Jack Sparrow, a freewheeling 17th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.","2003-07-09"
6927,76338,FALSE,6.7,"Thor: The Dark World",52.386058,"/bnX5PqAdQZRXSw3aX3DutDcdso5.jpg","en","Thor: The Dark World","28, 12, 14","/3FweBee0xZoY77uO1bhUOlQorNH.jpg",FALSE,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.","2013-10-29"
0,343111,FALSE,0,"Aage Ki Soch",52.240654,"/qSJ0j8PQrhEzmd7jlwpxS4liQI7.jpg","hi","आगे की सोच","35","/rmQszCUBlCeqdtFWTWhGqGTlBW1.jpg",FALSE,"Aage Ki Soch is 1988 Hindi language movie directed by Dada Kondke and starring Shakti Kapoor, Dada Kondke, Swapna, Raza Murad, and Satish Shah","1988-01-01"
319,347882,FALSE,5.2,"Sleight",51.551421,"/wridRvGxDqGldhzAIh3IcZhHT5F.jpg","en","Sleight","18, 53, 28, 878","/2SEgJ0mHJ7TSdVDbkGU061tR33K.jpg",FALSE,"A young street magician is left to take care of his little sister after his mother's passing and turns to drug dealing in the Los Angeles party scene to keep a roof over their heads. When he gets into trouble with his supplier, his sister is kidnapped and he is forced to rely on both his sleight of hand and brilliant mind to save her.","2017-04-28"
3426,954,FALSE,6.7,"Mission: Impossible",51.159372,"/vmj2PzTLC6xJvshpq8SlaYE3gbd.jpg","en","Mission: Impossible","12, 28, 53","/tjQHn6xW5BiB1RJ3OZIPDzIOSkF.jpg",FALSE,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.","1996-05-22"
8891,11,FALSE,8.1,"Star Wars",50.859536,"/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg","en","Star Wars","12, 28, 878","/4iJfYYoQzZcONB9hNzg0J0wWyPH.jpg",FALSE,"Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.","1977-05-25"
1,490214,FALSE,1,"Iceman 2",48.540344,"/enZENHd2gwVAw4sJKJxtJl1vJ09.jpg","cn","时空行者2","28, 35, 36","/6SOLRw0mLepY83uonpbhWIe8mWx.jpg",FALSE,"The imperial guard and his three traitorous childhood friends ordered to hunt him down get accidentally buried and kept frozen in time. 400 years later pass and they are defrosted continuing the battle they left behind","2018-05-18"
10058,271110,FALSE,7.2,"Captain America: Civil War",47.396348,"/kSBXou5Ac7vEqKd97wotJumyJvU.jpg","en","Captain America: Civil War","12, 28, 878","/m5O3SZvQ6EgD5XXXLPIP1wLppeW.jpg",FALSE,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","2016-04-27"
709,268896,FALSE,5.9,"Pacific Rim: Uprising",47.28231,"/v5HlmJK9bdeHxN2QhaFP1ivjX3U.jpg","en","Pacific Rim: Uprising","28, 14, 878, 12","/mo5EJsExrQCroqPDwUwp6jeq0xS.jpg",FALSE,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.","2018-03-21"
4564,141052,FALSE,6.3,"Justice League",46.857338,"/eifGNCSDuxJeS1loAXil5bIGgvC.jpg","en","Justice League","28, 12, 14, 878","/o5T8rZxoWSBMYwjsUFUqTt6uMQB.jpg",FALSE,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.","2017-11-15"
280,395990,FALSE,5.3,"Death Wish",46.665854,"/rxPghSvLbWCUjLplxkkcPMahbsz.jpg","en","Death Wish","28, 80, 18, 53","/uQqQvmptJLPTcWDrZXn22p7j7s3.jpg",FALSE,"A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.","2018-03-02"
7476,315635,FALSE,7.3,"Spider-Man: Homecoming",46.39952,"/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg","en","Spider-Man: Homecoming","28, 12, 35, 878, 18","/vc8bCGjdVp0UbMNLzHnHSLRbBWQ.jpg",FALSE,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.","2017-07-05"
4307,335984,FALSE,7.3,"Blade Runner 2049",46.068875,"/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg","en","Blade Runner 2049","9648, 878, 53","/mVr0UiqyltcfqxbAUcLl9zWL8ah.jpg",FALSE,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.","2017-10-04"
11143,120,FALSE,8.2,"The Lord of the Rings: The Fellowship of the Ring",44.633849,"/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg","en","The Lord of the Rings: The Fellowship of the Ring","12, 14, 28","/pIUvQ9Ed35wlWhY2oU6OmwEsmzG.jpg",FALSE,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","2001-12-18"
1329,446354,FALSE,7,"The Post",43.923943,"/h4XG3g6uMMPIBPjAoQhC2QIMdkl.jpg","en","The Post","18, 36","/8sb4aBST28vN3rBz704XJczS0Ld.jpg",FALSE,"A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.","2018-01-11"
7500,245891,FALSE,7,"John Wick",43.856797,"/5vHssUeVe25bMrof1HyaPyWgaP.jpg","en","John Wick","28, 53","/umC04Cozevu8nn3JTDJ1pc7PVTn.jpg",FALSE,"Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.","2014-10-22"
1794,336843,FALSE,7.1,"Maze Runner: The Death Cure",43.639372,"/7GgZ6DGezkh3szFdvskH5XD4V0t.jpg","en","Maze Runner: The Death Cure","28, 9648, 878, 53, 12, 14","/bvbyidkMaBls1LTaIWYY6UmYTaL.jpg",FALSE,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.","2018-01-17"
36,401905,FALSE,5.7,"Fahrenheit 451",43.188194,"/urH9H50gKbUK8U6qTVd89SLQPjx.jpg","en","Fahrenheit 451","18, 878","/nB9FcVkOX8qSRawZWaDDMPIfCCS.jpg",FALSE,"In an oppressive future, a 'fireman' whose duty is to destroy all books begins to question his task.","2018-05-19"
2313,316029,FALSE,8,"The Greatest Showman",42.914636,"/b9CeobiihCx1uG1tpw8hXmpi7nm.jpg","en","The Greatest Showman","18, 10402","/zpq404Sk7qQ7N4x3xOeNgp74GtU.jpg",FALSE,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.","2017-12-20"
6303,122917,FALSE,7.2,"The Hobbit: The Battle of the Five Armies",42.570202,"/9zRzFJuaj0CHIOhAkcCcFTvyu2X.jpg","en","The Hobbit: The Battle of the Five Armies","28, 12, 14","/uA8Qe2d9bKEdCFakjjdldy3P2pU.jpg",FALSE,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","2014-12-10"
1131,399035,FALSE,5.9,"The Commuter",42.125403,"/rDeGK6FIUfVcXmuBdEORPAGPMNg.jpg","en","The Commuter","28, 80, 18, 9648, 53","/clmYuR1t4TtKcakIOvYIPrjyxDc.jpg",FALSE,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.","2018-01-11"
8020,102899,FALSE,7,"Ant-Man",41.378237,"/D6e8RJf2qUstnfkTslTXNTUAlT.jpg","en","Ant-Man","878, 28, 12","/kvXLZqY0Ngl1XSw7EaMQO0C1CCj.jpg",FALSE,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.","2015-07-14"
5734,61791,FALSE,7.1,"Rise of the Planet of the Apes",40.87312,"/ddWSWgAjAhksNhMeeBTSqY6otIA.jpg","en","Rise of the Planet of the Apes","53, 28, 18, 878","/oxrovtv9Yo9snk4WLM0bK0SCRES.jpg",FALSE,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee.","2011-08-03"
0,482560,FALSE,0,"Covet: The Island of Desire",40.012127,"/jPxatX1ReNULfOOZEDuc5o6T9nT.jpg","ko","탐하다:욕망의 섬","10749, 18",NA,FALSE,"People who are on fishing boats in a secluded countryside wake up to their deepest desires.  Money, sex, power ... In the uninhabited desert where there is endless desire, it turns out that somebody is found as a body and another person is on the island.  Can they escape safely from the island of desire?","2017-01-01"
7803,127585,FALSE,7.5,"X-Men: Days of Future Past",39.173088,"/qKkFk9HELmABpcPoc1HHZGIxQ5a.jpg","en","X-Men: Days of Future Past","28, 12, 14, 878","/5LBcSLHAtEIIgvNkA2dPmYH5wR7.jpg",FALSE,"The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.","2014-05-15"
4410,87101,FALSE,5.8,"Terminator Genisys",39.051721,"/5JU9ytZJyR3zmClGmVm9q4Geqbd.jpg","en","Terminator Genisys","878, 28, 53, 12","/bIlYH4l2AyYvEysmS2AOfjO7Dn8.jpg",FALSE,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.","2015-06-23"
4792,166426,FALSE,6.5,"Pirates of the Caribbean: Dead Men Tell No Tales",38.406112,"/xbpSDU3p7YUGlu9Mr6Egg2Vweto.jpg","en","Pirates of the Caribbean: Dead Men Tell No Tales","12, 28, 14, 35","/7C921eWK06n12c1miRXnYoEu5Yv.jpg",FALSE,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.","2017-05-23"
8526,284052,FALSE,7.2,"Doctor Strange",37.832694,"/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg","en","Doctor Strange","28, 12, 14, 878","/tFI8VLMgSTTU38i8TIsklfqS9Nl.jpg",FALSE,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under his wing and trains him to defend the world against evil.","2016-10-25"
7028,58,FALSE,7.1,"Pirates of the Caribbean: Dead Man's Chest",37.72508,"/waFr5RVKaQ9dzOt3nQuIVB1FiPu.jpg","en","Pirates of the Caribbean: Dead Man's Chest","12, 14, 28","/yD3gXOtGmXnbJBPLgqluZU2QF5c.jpg",FALSE,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","2006-06-20"
